2024-03-11,$15,Wallet,Adjustment,
2024-03-11,$0,PayPal,Adjustment,
2024-03-11,$370,Checking,Adjustment,
2024-03-11,$500,Savings,Adjustment,
2024-03-11,-$400,Credit Card,Adjustment,
2024-03-11,-$7.00,Checking,Subscription,
2024-03-11,-$6.00,Checking,Subscription,
2024-03-11,-$15.90,Checking,Subscription,
2024-03-11,-$65.27,Checking,Phone Bill,
2024-03-11,-$228.20,Checking,School Supplies,
2024-03-12,-$11.99,Checking,Subscription,
2024-03-12,-$5.98,Checking,Gift,
2024-03-13,-$4.29,Credit Card,Movie,
2024-03-13,-$33.17,Credit Card,Games,
2024-03-13,$564.25,Checking,Income,
2024-03-15,-$50.30,Checking,School Supplies,
2024-03-15,-$9.00,Credit Card,Meal,
2024-03-16,-$129.00,Checking,School Supplies,
2024-03-17,$67.00,Wallet,Income,
2024-03-17,-$64.00,Wallet,Transfer,to Checking
2024-03-17,-$185.00,Checking,Car Insurance,
2024-03-18,$280,Checking,Income,
2024-03-18,$4.09,PayPal,Income,
2024-03-18,-$9.00,Credit Card,Meal,
2024-03-18,$11.23,Credit Card,Credit Card Payment,
2024-03-18,$404.46,Credit Card,Credit Card Payment,
2024-03-18,-$404.46,Checking,Credit Card Payment,
2024-03-19,-$35.00,Checking,School Supplies,
2024-03-20,-$9.00,Credit Card,Meal,
2024-03-20,-$3.49,Credit Card,Food,
2024-03-21,-$9.00,Credit Card,Meal,
2024-03-23,-$5.00,Checking,Subscription,
2024-03-25,-$4.09,PayPal,Games,
2024-04-01,-$5.91,Checking,Games,
2024-04-01,-$9.00,Credit Card,Meal,
2024-04-01,$532.38,Checking,Income,
2024-04-01,-$178.06,Checking,Tech,
2024-04-01,-$5.99,Checking,Subscription,
2024-04-01,-$5.00,Checking,Subscription,
2024-04-01,-$68.50,Checking,Sports,
2024-04-01,-$2.49,Credit Card,Food,
2024-04-01,-$2.99,Credit Card,Car Maintenance,
2024-04-01,-$1.00,Wallet,Car Maintenance,
2024-04-02,-$9.00,Credit Card,Meal,
2024-04-02,-$150.00,Checking,Transfer,to Savings
2024-04-03,$20.00,Wallet,Gift,
2024-04-03,-$3.99,Credit Card,School Supplies,
2024-04-03,$54.00,Wallet,Income,
2024-04-05,-$13.99,Checking,Subscription,
2024-04-05,-$15.49,Checking,Subscription,
2024-04-06,-$73.14,Credit Card,Subscription,
2024-04-07,-$9.00,Credit Card,Meal,
2024-04-07,-$68.00,Wallet,Transfer,to Checking
2024-04-07,-$150.00,Checking,Transfer,to Savings
2024-04-08,-$3.49,Credit Card,Food,
2024-04-08,$5.29,Credit Card,Games,
2024-04-08,-$46.99,Credit Card,Shopping,
2024-04-08,-$5.00,Wallet,Tip,
2024-04-08,-$9.00,Credit Card,Meal,
2024-04-08,-$16.49,Credit Card,Meal,
2024-04-09,-$5.00,Wallet,Tip,
2024-04-10,-$570.85,Savings,Transfer,to Checking
2024-04-10,-$570.85,Checking,Car Maintenance,
2024-04-11,-$45.15,Credit Card,Collectables,
2024-04-13,-$9.00,Credit Card,Meal,
2024-04-15,-$9.08,Credit Card,Food,
2024-04-15,-$2.00,Wallet,Tip,